 ,56439
ا,31059
ی,20999
ر,18606
ن,14918
د,14829
و,13535
ه,12540
ت,11127
م,10847
س,8893
ب,8598
ک,6523
ل,6349
ش,5700
ز,4324
گ,2868
ف,2816
ع,2491
ق,2474
خ,2337
ج,2232
پ,1740
آ,1706
ح,1637
ط,1256
ص,994
چ,715
غ,479
e,341
ئ,338
ث,335
ض,310
ژ,293
ذ,273
o,259
f,254
c,231
a,226
i,224
s,215
t,203
ظ,192
r,178
n,176
l,157
h,138
x,135
g,133
u,114
d,114
p,112
m,89
أ,82
y,70
b,54
v,48
k,44
ي,42
