 ,86440
क,12530
र,12509
स,7583
न,7491
त,6787
म,5968
ह,5927
प,4947
ल,4926
य,4803
व,4620
ज,3557
द,3132
ग,2693
ब,2216
श,1936
भ,1600
ट,1593
ए,1581
अ,1488
च,1394
थ,1386
ड,1325
ष,1179
ध,1129
इ,1071
उ,1066
आ,898
ण,867
ख,831
औ,762
ई,699
फ,673
e,408
a,406
t,335
r,314
छ,284
i,275
ओ,257
n,242
s,233
o,222
f,210
ठ,192
ढ,176
c,168
घ,165
p,154
h,153
l,152
u,126
w,123
m,118
d,116
झ,107
b,102
ञ,95
ऐ,94
g,93
ऑ,67
ऊ,64
x,62
k,52
v,50
y,38
